,id,date,team1,team2,toss_winner,winner,inning,over,batting_team,bowling_team,field,D/L,eliminator?,total_runs_y,cum_total,cum_wicket
210,1254058,2021-04-09,12,5,5,5,2,13.4,5,12,1,0,0,160,102,3
211,1254058,2021-04-09,12,5,5,5,2,13.5,5,12,1,0,0,160,102,3
212,1254058,2021-04-09,12,5,5,5,2,13.6,5,12,1,0,0,160,103,3
213,1254058,2021-04-09,12,5,5,5,2,14.1,5,12,1,0,0,160,103,4
214,1254058,2021-04-09,12,5,5,5,2,14.2,5,12,1,0,0,160,104,4
215,1254058,2021-04-09,12,5,5,5,2,14.3,5,12,1,0,0,160,105,4
216,1254058,2021-04-09,12,5,5,5,2,14.4,5,12,1,0,0,160,105,4
217,1254058,2021-04-09,12,5,5,5,2,14.5,5,12,1,0,0,160,105,4
218,1254058,2021-04-09,12,5,5,5,2,14.6,5,12,1,0,0,160,106,4
219,1254058,2021-04-09,12,5,5,5,2,14.7,5,12,1,0,0,160,106,5
220,1254058,2021-04-09,12,5,5,5,2,15.1,5,12,1,0,0,160,110,5
221,1254058,2021-04-09,12,5,5,5,2,15.2,5,12,1,0,0,160,116,5
222,1254058,2021-04-09,12,5,5,5,2,15.3,5,12,1,0,0,160,117,5
223,1254058,2021-04-09,12,5,5,5,2,15.4,5,12,1,0,0,160,118,5
224,1254058,2021-04-09,12,5,5,5,2,15.5,5,12,1,0,0,160,120,5
225,1254058,2021-04-09,12,5,5,5,2,15.6,5,12,1,0,0,160,121,5
226,1254058,2021-04-09,12,5,5,5,2,16.1,5,12,1,0,0,160,122,5
227,1254058,2021-04-09,12,5,5,5,2,16.2,5,12,1,0,0,160,122,5
228,1254058,2021-04-09,12,5,5,5,2,16.3,5,12,1,0,0,160,122,6
229,1254058,2021-04-09,12,5,5,5,2,16.4,5,12,1,0,0,160,122,6
230,1254058,2021-04-09,12,5,5,5,2,16.5,5,12,1,0,0,160,125,6
231,1254058,2021-04-09,12,5,5,5,2,16.6,5,12,1,0,0,160,126,6
232,1254058,2021-04-09,12,5,5,5,2,17.1,5,12,1,0,0,160,132,6
233,1254058,2021-04-09,12,5,5,5,2,17.2,5,12,1,0,0,160,133,6
234,1254058,2021-04-09,12,5,5,5,2,17.3,5,12,1,0,0,160,134,6
235,1254058,2021-04-09,12,5,5,5,2,17.4,5,12,1,0,0,160,138,6
236,1254058,2021-04-09,12,5,5,5,2,17.5,5,12,1,0,0,160,140,6
237,1254058,2021-04-09,12,5,5,5,2,17.6,5,12,1,0,0,160,141,6
238,1254058,2021-04-09,12,5,5,5,2,18.1,5,12,1,0,0,160,145,6
239,1254058,2021-04-09,12,5,5,5,2,18.2,5,12,1,0,0,160,147,6
240,1254058,2021-04-09,12,5,5,5,2,18.3,5,12,1,0,0,160,151,6
241,1254058,2021-04-09,12,5,5,5,2,18.4,5,12,1,0,0,160,152,6
242,1254058,2021-04-09,12,5,5,5,2,18.5,5,12,1,0,0,160,152,7
243,1254058,2021-04-09,12,5,5,5,2,18.6,5,12,1,0,0,160,153,7
244,1254058,2021-04-09,12,5,5,5,2,19.1,5,12,1,0,0,160,154,7
245,1254058,2021-04-09,12,5,5,5,2,19.2,5,12,1,0,0,160,156,7
246,1254058,2021-04-09,12,5,5,5,2,19.3,5,12,1,0,0,160,157,7
247,1254058,2021-04-09,12,5,5,5,2,19.4,5,12,1,0,0,160,158,8
